Date,XEM,EOS,XMR,DOT,USDC,UNI,BNB,MIOTA,AAVE,SOL,BTC,ADA,USDT,ATOM,LINK,LTC,XRP,ETH,TRX,XLM,CRO,DOGE,WBTC
2020-11-05 23:59:59,0.1012481,2.44427202,119.81245886,4.23519485,0.99998786,2.20612935,27.67585879,0.2493184,30.95562668,1.40521805,15579.84846029,0.09699436,1.00041963,4.51377971,10.990669,58.67849616,0.24577641,414.06733818,0.02496151,0.08017504,0.07951403,0.00261685,15509.62071378
2020-11-06 23:59:59,0.12522496,2.53512695,119.48121939,4.57965191,1.00014146,2.5507954,29.01799902,0.26670174,38.45744081,1.91374,15565.88058083,0.10910493,1.00029637,4.87108582,12.11807205,63.13111235,0.25844464,454.71929029,0.02606515,0.08387438,0.07910617,0.00275989,15533.67523036
2020-11-07 23:59:59,0.11731148,2.49940198,111.31348825,4.24195952,1.00010125,2.46649654,27.73809536,0.25748551,44.60489962,2.03196386,14833.7541075,0.1013791,1.00157583,4.61772233,11.75722417,59.14364748,0.24958223,435.71313513,0.02491969,0.07961391,0.07327396,0.00267068,14823.48783502
2020-11-08 23:59:59,0.12749786,2.53960647,120.33414528,4.37209313,0.99995733,2.84861707,28.3051156,0.2660683,53.74937894,2.15659813,15479.56703842,0.10662103,1.00084587,4.80334628,12.6560345,61.05504665,0.2539387,453.55478553,0.02536509,0.08153846,0.07477048,0.00271064,15451.86771954
2020-11-09 23:59:59,0.12473966,2.49938391,115.65994583,4.34676728,0.99993203,2.67686302,28.01802089,0.25138863,54.88649964,2.02865216,15332.31559743,0.10532534,1.00065261,5.13356293,12.52073547,59.36388331,0.25074766,444.16305707,0.02481089,0.07967746,0.07029722,0.00266953,15294.62058694
2020-11-10 23:59:59,0.13163013,2.49940498,115.33495293,4.41501638,1.00032487,3.00754392,28.1933417,0.25447026,67.00111098,2.247987,15290.90268148,0.10580529,1.00112683,5.07848133,13.00346297,58.23734357,0.25391118,449.67962112,0.0248716,0.07982808,0.06984349,0.00275341,15243.54803965
2020-11-11 23:59:59,0.13252583,2.50334364,113.3657694,4.4572018,1.00014976,2.91237512,27.95617778,0.25081719,54.69964668,2.0021245,15701.33973237,0.10596494,1.00098523,5.03386773,12.80753845,59.51502792,0.25625941,462.96052774,0.02505395,0.08069167,0.07066611,0.00276896,15696.9410833
2020-11-12 23:59:59,0.12991105,2.46178749,112.04699755,4.39924024,0.9992072,2.93014159,27.61480668,0.24831973,51.63241804,1.89913759,16276.34394919,0.10452506,1.00050902,5.03527003,12.42322296,60.36537784,0.25490322,461.00527114,0.02493711,0.08066601,0.07205461,0.00277901,16226.75594981
2020-11-13 23:59:59,0.13385866,2.59747944,114.11271105,4.5401198,1.00001239,3.8796593,28.18217212,0.25645307,63.39907168,2.02079216,16317.80819009,0.10639074,1.00034534,5.21096513,12.8879783,65.45720007,0.2651905,474.62642092,0.02540475,0.08231771,0.07041889,0.00282145,16232.41870895
2020-11-14 23:59:59,0.13765142,2.53961862,116.57744471,4.4656222,1.00022437,3.80910701,27.93620058,0.25270825,67.01611273,1.91701557,16068.13870685,0.10420159,1.00028762,5.04742864,12.57696003,63.77414998,0.26834244,460.14983674,0.02519053,0.08115832,0.06764896,0.002773,16039.94330911
2020-11-15 23:59:59,0.13303342,2.49786955,114.62094422,4.37998835,1.00016798,3.86200742,27.62103009,0.24940238,64.23729542,2.04323394,15955.58743887,0.10053113,1.0006467,4.98014056,12.1218131,62.27992055,0.26964156,447.55909533,0.02540897,0.08029435,0.06395296,0.00277541,15887.31707739
2020-11-16 23:59:59,0.13502051,2.57571957,117.98246143,4.48549978,1.00016163,3.6040116,28.06410953,0.25374455,71.76639355,2.25535545,16716.11132377,0.10400779,1.00041231,5.10054222,12.59079045,71.32624469,0.28552034,459.94031258,0.0255961,0.08189586,0.06469113,0.00288579,16665.1959337
2020-11-17 23:59:59,0.13389686,2.71210373,125.43039276,4.84466572,1.00007611,3.80348089,28.5305809,0.26562898,78.44328478,2.20218147,17645.40576746,0.10960014,1.00083978,5.28647521,13.2447115,75.85234021,0.3024083,480.36008258,0.02646838,0.0860754,0.06436381,0.00293588,17654.38988443
2020-11-18 23:59:59,0.13144196,2.64180046,123.64198249,4.67966267,1.00012058,3.46366504,28.07616291,0.25642591,75.23227405,2.11502872,17804.00563217,0.10640261,1.00039946,5.10066778,13.59299642,73.69493456,0.29422167,479.48406975,0.02682202,0.08361524,0.06582489,0.00290902,17793.18068606
2020-11-19 23:59:59,0.11408918,2.63621518,118.38548037,4.7567662,1.0001876,3.7330601,28.09410417,0.25336387,75.85718351,2.07676865,17817.09024754,0.10586606,1.00078094,5.09063466,13.62188196,81.68366667,0.30376565,471.63041968,0.02580231,0.08390624,0.06673213,0.00291104,17788.11661114
2020-11-20 23:59:59,0.12340073,2.77554809,120.94480372,5.23343571,1.00003932,3.84091406,28.89199739,0.26529544,75.06539972,2.09539164,18621.31436938,0.1182257,1.00042702,5.27023722,14.07827326,82.583154,0.32806824,509.74457334,0.02626955,0.08830738,0.07698757,0.00298434,18623.14429884
2020-11-21 23:59:59,0.13745817,3.21610062,128.06749049,5.75192122,0.9999918,3.81223005,30.3912909,0.3235017,70.42424685,2.38220531,18642.23276593,0.13294498,0.99887395,5.89125746,15.355934,86.41011587,0.45834416,549.48662086,0.03033475,0.10840489,0.07278006,0.00350659,18601.52605375
2020-11-22 23:59:59,0.1287229,3.05149739,123.33387377,5.48185289,0.99997751,3.65905312,29.92507133,0.31770056,68.42477869,2.14484477,18370.00252365,0.14476017,0.99920264,5.46323492,14.44480124,82.70420982,0.44370043,558.06809523,0.02869945,0.10352625,0.07094396,0.0033293,18398.17223527
2020-11-23 23:59:59,0.14534145,3.382453,129.88900657,5.9069321,0.99981977,4.18887791,30.96536947,0.35877809,71.83861244,2.27637688,18364.12159134,0.15350993,1.00009157,5.80081328,15.27084388,89.03931421,0.6139796,608.45402857,0.03167253,0.13059927,0.07224472,0.00364797,18358.94405618
2020-11-24 23:59:59,0.16277996,3.58598476,135.20034233,5.72944635,0.99983031,4.06707338,33.80315145,0.38303498,66.73867871,2.26796698,19107.46444977,0.16632261,0.99980773,5.9503631,15.62066489,89.20537318,0.69210316,603.89774601,0.03506729,0.19547983,0.08111599,0.00420366,19146.87129614
2020-11-25 23:59:59,0.18140159,3.43941737,129.14587869,5.30985986,1.00005264,3.68375432,31.34296007,0.35520555,61.80533895,2.27003407,18732.1207774,0.15516213,1.00005305,5.92368189,14.26096459,81.88012987,0.63548327,570.68661621,0.0331058,0.19520212,0.07825506,0.00372672,18690.25031531
