Date,BTC,WBTC
2019-08-21 23:59:59,10138.049355,10143.1025667
2019-08-22 23:59:59,10131.0561021,10047.1852648
2019-08-23 23:59:59,10407.965329,10375.4534805
2019-08-24 23:59:59,10159.9605385,10180.319379
2019-08-25 23:59:59,10138.517665,10087.1839268
2019-08-26 23:59:59,10370.8201605,10368.494078
2019-08-27 23:59:59,10185.4998997,10184.6346949
2019-08-28 23:59:59,9754.42327325,9744.59263034
2019-08-29 23:59:59,9510.20054413,9482.92750836
2019-08-30 23:59:59,9598.17364826,9614.52024878
2019-08-31 23:59:59,9630.66384768,9674.72945755
2019-09-01 23:59:59,9757.97031807,9757.76464608
2019-09-02 23:59:59,10346.7607927,10392.5969788
2019-09-03 23:59:59,10623.5401172,10560.9481556
2019-09-04 23:59:59,10594.4933536,10635.5292443
2019-09-05 23:59:59,10575.533284,10559.6011344
2019-09-06 23:59:59,10353.3025592,10335.8028062
2019-09-07 23:59:59,10517.254784,10443.2881104
2019-09-08 23:59:59,10441.275979,10397.172089
2019-09-09 23:59:59,10334.9741628,10293.9247267
2019-09-10 23:59:59,10115.9757913,10132.7960236
2019-09-11 23:59:59,10178.3718893,10214.5103402
2019-09-12 23:59:59,10410.1268031,10380.0282973
2019-09-13 23:59:59,10360.5472773,10297.6160012
2019-09-14 23:59:59,10358.0491621,10382.6012962
2019-09-15 23:59:59,10347.7129074,10324.2240529
2019-09-16 23:59:59,10276.7935649,10309.6374477
2019-09-17 23:59:59,10241.2721545,10135.6983212
2019-09-18 23:59:59,10198.2484072,10081.8543848
2019-09-19 23:59:59,10266.4149694,10253.7486504
2019-09-20 23:59:59,10181.6413094,10160.597275
2019-09-21 23:59:59,10019.7169101,9994.83417432
2019-09-22 23:59:59,10070.3921064,10141.4630765
2019-09-23 23:59:59,9729.32376435,9708.2090486
2019-09-24 23:59:59,8620.56642733,8603.00013776
2019-09-25 23:59:59,8486.99297206,8545.90962792
2019-09-26 23:59:59,8118.96756783,8145.70568071
2019-09-27 23:59:59,8251.84555744,8273.44438254
2019-09-28 23:59:59,8245.91515478,8230.42822574
2019-09-29 23:59:59,8104.18567564,8105.05624418
2019-09-30 23:59:59,8293.86774062,8312.41611126
2019-10-01 23:59:59,8343.2766814,8382.4724348
2019-10-02 23:59:59,8393.04164486,8348.78637175
2019-10-03 23:59:59,8259.99197863,8229.4347247
2019-10-04 23:59:59,8205.93924121,8178.09404826
2019-10-05 23:59:59,8151.50052921,8106.7142973
2019-10-06 23:59:59,7988.15595888,8061.78524273
2019-10-07 23:59:59,8245.622933,8235.09021486
2019-10-08 23:59:59,8228.7831528,8286.89932218
2019-10-09 23:59:59,8595.73981722,8577.74252418
2019-10-10 23:59:59,8586.47342543,8554.62447354
2019-10-11 23:59:59,8321.75671178,8398.82695746
2019-10-12 23:59:59,8336.55527417,8355.99625835
2019-10-13 23:59:59,8321.00574668,8345.32350317
2019-10-14 23:59:59,8374.6864467,8367.57305692
2019-10-15 23:59:59,8205.36931588,8232.41391088
2019-10-16 23:59:59,8047.52686305,8058.67705154
2019-10-17 23:59:59,8103.91137325,8163.22587393
2019-10-18 23:59:59,7973.20744597,7983.32588913
2019-10-19 23:59:59,7988.56044241,8026.10562005
2019-10-20 23:59:59,8222.07826034,8260.59700992
2019-10-21 23:59:59,8243.72113905,8267.94820354
2019-10-22 23:59:59,8078.20332194,8145.89226137
2019-10-23 23:59:59,7514.67201276,7537.49901311
2019-10-24 23:59:59,7493.48873154,7554.28945686
2019-10-25 23:59:59,8660.70063696,8674.00798174
2019-10-26 23:59:59,9244.97220867,9217.77807895
2019-10-27 23:59:59,9551.7149631,9501.21103602
2019-10-28 23:59:59,9256.14838876,9245.76417816
2019-10-29 23:59:59,9427.68758384,9357.66529922
2019-10-30 23:59:59,9205.72655905,9199.99692447
2019-10-31 23:59:59,9199.58483269,9221.17796204
2019-11-01 23:59:59,9261.104352,9282.86772556
2019-11-02 23:59:59,9324.71776331,9342.29017102
2019-11-03 23:59:59,9235.35487947,9213.91110347
2019-11-04 23:59:59,9412.61187106,9249.85060403
2019-11-05 23:59:59,9342.52717939,9288.4696235
2019-11-06 23:59:59,9360.87991187,9351.77950538
2019-11-07 23:59:59,9267.56114253,9133.2746438
2019-11-08 23:59:59,8804.88071936,8818.83418006
2019-11-09 23:59:59,8813.58248677,8789.23706164
2019-11-10 23:59:59,9055.52605732,9109.21565311
2019-11-11 23:59:59,8757.78854226,8753.98733379
2019-11-12 23:59:59,8815.66253925,8758.07024744
2019-11-13 23:59:59,8808.2625823,8823.05133744
2019-11-14 23:59:59,8708.09509517,8731.70283882
2019-11-15 23:59:59,8491.99201234,8584.21935893
2019-11-16 23:59:59,8550.76055694,8655.95134291
2019-11-17 23:59:59,8577.9757816,8631.45535083
2019-11-18 23:59:59,8309.28598342,8363.43910531
2019-11-19 23:59:59,8206.14591807,8271.57920284
2019-11-20 23:59:59,8027.26824331,8188.51943483
2019-11-21 23:59:59,7642.74994484,7761.88710928
2019-11-22 23:59:59,7296.57756843,7340.05681998
2019-11-23 23:59:59,7397.7968154,7423.94302451
2019-11-24 23:59:59,7047.91688176,7035.39620795
2019-11-25 23:59:59,7146.13390214,7145.96380267
2019-11-26 23:59:59,7218.37133433,7228.55672373
2019-11-27 23:59:59,7531.6636446,7504.2549572
2019-11-28 23:59:59,7463.1061283,7529.81482817
2019-11-29 23:59:59,7761.24360172,7798.89057628
2019-11-30 23:59:59,7569.63012202,7599.79855126
2019-12-01 23:59:59,7424.29226516,7387.08234379
2019-12-02 23:59:59,7321.98811242,7317.57098565
2019-12-03 23:59:59,7320.1454684,7324.20406711
2019-12-04 23:59:59,7252.03458617,7306.3196988
2019-12-05 23:59:59,7448.30752084,7444.4847402
2019-12-06 23:59:59,7546.99669772,7533.92144314
2019-12-07 23:59:59,7556.23803387,7516.45955463
2019-12-08 23:59:59,7564.3454032,7537.04516148
2019-12-09 23:59:59,7400.89935576,7400.0121025
2019-12-10 23:59:59,7278.1197833,7293.37984501
2019-12-11 23:59:59,7217.4271152,7202.57904449
2019-12-12 23:59:59,7243.13436273,7254.03519947
2019-12-13 23:59:59,7269.68455922,7252.45901588
2019-12-14 23:59:59,7124.67396997,7159.0813327
2019-12-15 23:59:59,7152.30184412,7126.52506591
2019-12-16 23:59:59,6932.48038982,6945.43559361
2019-12-17 23:59:59,6640.51524608,6636.99140677
2019-12-18 23:59:59,7276.80277047,7279.9075205
2019-12-19 23:59:59,7202.84436364,7201.73830886
2019-12-20 23:59:59,7218.81638679,7196.59993709
2019-12-21 23:59:59,7191.15846913,7184.96057259
2019-12-22 23:59:59,7511.58904232,7452.5945254
2019-12-23 23:59:59,7355.62826671,7357.78461216
2019-12-24 23:59:59,7322.5324589,7317.03892305
2019-12-25 23:59:59,7275.15572845,7282.7490948
2019-12-26 23:59:59,7238.96702501,7215.97419958
2019-12-27 23:59:59,7290.08851803,7329.74757373
2019-12-28 23:59:59,7317.99003408,7356.90431711
2019-12-29 23:59:59,7422.65258898,7421.6293886
2019-12-30 23:59:59,7292.99507783,7330.45603056
2019-12-31 23:59:59,7193.59897843,7204.77154134
2020-01-01 23:59:59,7200.17439274,7224.74124278
2020-01-02 23:59:59,6985.47000061,7006.90034685
2020-01-03 23:59:59,7344.88418341,7341.85296744
2020-01-04 23:59:59,7410.65656642,7408.195332
2020-01-05 23:59:59,7411.31732676,7401.3966564
2020-01-06 23:59:59,7769.21903905,7792.34570411
2020-01-07 23:59:59,8163.69223944,8140.17634235
2020-01-08 23:59:59,8079.86277673,8099.64283092
2020-01-09 23:59:59,7879.07152428,7904.83001752
2020-01-10 23:59:59,8166.55414039,8128.75671539
2020-01-11 23:59:59,8037.53738872,8041.23568354
2020-01-12 23:59:59,8192.49400532,8129.73212377
2020-01-13 23:59:59,8144.19451744,8131.62483313
2020-01-14 23:59:59,8827.76442606,8870.66326871
2020-01-15 23:59:59,8807.01027532,8823.6695559
2020-01-16 23:59:59,8723.78576573,8729.58337668
2020-01-17 23:59:59,8929.0376776,8871.59012067
2020-01-18 23:59:59,8942.80890321,8943.69276308
2020-01-19 23:59:59,8706.24512993,8752.9956579
2020-01-20 23:59:59,8657.64293942,8730.62369028
2020-01-21 23:59:59,8745.89478833,8766.51002087
2020-01-22 23:59:59,8680.87604222,8656.06386464
2020-01-23 23:59:59,8406.5160678,8441.10990887
2020-01-24 23:59:59,8445.43428152,8486.29002043
2020-01-25 23:59:59,8367.84777344,8363.45499686
2020-01-26 23:59:59,8596.82983316,8657.27859027
2020-01-27 23:59:59,8909.81917753,8985.1771148
2020-01-28 23:59:59,9358.59031703,9432.91389448
2020-01-29 23:59:59,9316.62950445,9362.48710398
2020-01-30 23:59:59,9508.9935947,9504.33354065
2020-01-31 23:59:59,9350.52936518,9358.92405427
2020-02-01 23:59:59,9392.87536841,9428.83887015
2020-02-02 23:59:59,9344.36529292,9392.28318024
2020-02-03 23:59:59,9293.52108908,9293.93665798
2020-02-04 23:59:59,9180.9629665,9206.29492359
2020-02-05 23:59:59,9613.42428895,9624.52786874
2020-02-06 23:59:59,9729.80223149,9755.37058641
2020-02-07 23:59:59,9795.94377253,9841.6157191
2020-02-08 23:59:59,9865.11946905,9875.94983876
2020-02-09 23:59:59,10116.673759,10179.8017292
2020-02-10 23:59:59,9856.61149362,9841.41171621
2020-02-11 23:59:59,10208.2362609,10180.5067812
2020-02-12 23:59:59,10326.0545246,10399.2653985
2020-02-13 23:59:59,10214.3794638,10294.1557764
2020-02-14 23:59:59,10312.1160909,10387.0310737
2020-02-15 23:59:59,9889.42462838,10177.5505888
2020-02-16 23:59:59,9934.43339025,10075.7962728
2020-02-17 23:59:59,9690.14261814,9784.90340343
